TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2396745.14
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2678715.16
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3125167.69
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1268438.71
TCP | 127.0.0.1 | RTT=0.06ms | Throughput=1200659.54
TCP | 127.0.0.1 | RTT=0.03ms | Throughput=2490368.00
TCP | 127.0.0.1 | RTT=0.04ms | Throughput=2044059.54
TCP | 127.0.0.1 | RTT=0.02ms | Throughput=3135136.32
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.02ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.09ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.19ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.12ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.09ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.06ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.16ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.09ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.08ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.05ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.25ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.07ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.03ms
TCP | 127.0.0.1 | RTT=0.04ms
TCP | 127.0.0.1 | RTT=0.04ms
